Date : 2024-05-29 16:48:34
Directory : e:\WebProjects\library
Total : 101 files,  16787 codes, 278 comments, 738 blanks, all 17803 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| e:\WebProjects\library\server\api\bookedBooks\index.delete.js                                                             | JavaScript         |         15 |          1 |          7 |         23 |
| e:\WebProjects\library\server\api\bookedBooks\index.get.js                                                                | JavaScript         |         49 |          0 |          7 |         56 |
| e:\WebProjects\library\server\api\bookedBooks\index.post.js                                                               | JavaScript         |         58 |          0 |         13 |         71 |
| e:\WebProjects\library\server\api\bookedBooks\index.put.js                                                                | JavaScript         |         22 |          0 |          7 |         29 |
| e:\WebProjects\library\server\api\books\[id].get.js                                                                       | JavaScript         |         29 |          1 |          8 |         38 |
| e:\WebProjects\library\server\api\books\index.get.js                                                                      | JavaScript         |         55 |          0 |          6 |         61 |
| e:\WebProjects\library\server\api\books\index.post.js                                                                     | JavaScript         |         33 |          4 |         10 |         47 |
| e:\WebProjects\library\server\api\libraryBook\getLibBooks.get.js                                                          | JavaScript         |         26 |          3 |          8 |         37 |
| e:\WebProjects\library\server\api\libraryBook\index.put.js                                                                | JavaScript         |         26 |          0 |         10 |         36 |
| e:\WebProjects\library\server\api\libraryBook\postLibBook.post.js                                                         | JavaScript         |         24 |         14 |         11 |         49 |
| e:\WebProjects\library\server\api\library\index.get.js                                                                    | JavaScript         |         13 |          0 |          5 |         18 |
| e:\WebProjects\library\server\api\library\index.post.js                                                                   | JavaScript         |         16 |          0 |          7 |         23 |
| e:\WebProjects\library\server\api\publishers\index.get.js                                                                 | JavaScript         |         27 |          0 |          8 |         35 |
| e:\WebProjects\library\server\api\publishers\index.post.js                                                                | JavaScript         |         13 |          0 |          7 |         20 |
| e:\WebProjects\library\server\api\transformers\book.js                                                                    | JavaScript         |         14 |          1 |          2 |         17 |
| e:\WebProjects\library\server\api\transformers\library.js                                                                 | JavaScript         |         14 |          0 |          1 |         15 |
| e:\WebProjects\library\server\api\transformers\libraryBook.js                                                             | JavaScript         |         11 |          1 |          2 |         14 |
| e:\WebProjects\library\server\api\transformers\user.js                                                                    | JavaScript         |         10 |          0 |          0 |         10 |
| e:\WebProjects\library\server\cron\index.js                                                                               | JavaScript         |          1 |          0 |          0 |          1 |
| e:\WebProjects\library\server\cron\removeExpiredBookings.js                                                               | JavaScript         |         35 |         15 |          7 |         57 |
| e:\WebProjects\library\server\db\author.js                                                                                | JavaScript         |         11 |          0 |          2 |         13 |
| e:\WebProjects\library\server\db\book.js                                                                                  | JavaScript         |         92 |          9 |         14 |        115 |
| e:\WebProjects\library\server\db\booking.js                                                                               | JavaScript         |         52 |          0 |          7 |         59 |
| e:\WebProjects\library\server\db\index.js                                                                                 | JavaScript         |          4 |          0 |          3 |          7 |
| e:\WebProjects\library\server\db\library.js                                                                               | JavaScript         |         16 |          0 |          3 |         19 |
| e:\WebProjects\library\server\db\publisher.js                                                                             | JavaScript         |         11 |          0 |          2 |         13 |
| e:\WebProjects\library\server\db\refreshTokens.js                                                                         | JavaScript         |         20 |          0 |          3 |         23 |
| e:\WebProjects\library\server\db\users.js                                                                                 | JavaScript         |         25 |          0 |          5 |         30 |
| e:\WebProjects\library\server\init.js                                                                                     | JavaScript         |          1 |          0 |          0 |          1 |
| e:\WebProjects\library\server\middleware\auth.js                                                                          | JavaScript         |         31 |          1 |         13 |         45 |
| e:\WebProjects\library\server\tsconfig.json                                                                               | JSON with Comments |          3 |          0 |          1 |          4 |
| e:\WebProjects\library\server\utils\jwt.js                                                                                | JavaScript         |         43 |          0 |         13 |         56 |
| e:\WebProjects\library\tailwind.config.js                                                                                 | JavaScript         |         42 |          1 |          8 |         51 |
| e:\WebProjects\library\tsconfig.json                                                                                      | JSON with Comments |          3 |          1 |          1 |          5 |
| Total                                                                                                                     |                    |     16,787 |        278 |        738 |     17,803 |
+---------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
